Poem,Meaning
"Driving west through sandstone’s red arenas, a rodeo of slow erosion cleaves these plains, these ravaged cliffs. This is cowboy country. Desolate. Dull. Except on weekends, when cafés bloom like cactus after drought. My rented Mustang bucks the wind—I’m strapped up, wide-eyed, busting speed with both heels, a sure grip on the wheel. Black clouds maneuver in the distance, but I don’t care. Mileage is my obsession. I’m always racing off, passing through, as though the present were a dying town I’d rather flee. What matters is the future, its glittering Hotel. Clouds loom closer, big as Brahmas in the heavy air. The radio crackles like a shattered rib. I’m in the chute. I check the gas and set my jaw. I’m almost there.",The relentless pursuit of an idealized future consumes a restless spirit seeking escape from a barren present.
"When no one else would listen, Saint Anthonypreached seaward, his words fishnet for the lostsouls of the heretics. Caught up in despair, we pleato the one who will listen: Saint Anthony,please return Tía’s teeth or the misplaced key to our bolted hopes. Patron retriever of all we’ve tossed when no one else would. Listen, Saint Anthony,teach us to steward this world, all our netted loss.","This poem explores profound loneliness and desperation, seeking solace in a devoted patron who embodies unwavering listening and retrieval."
"He never saw a violin.But he saw a lifetime of violence.This is not to presumeThat if he had simply seenA violin he would have seenLess violence. Or that living amongViolins, as though they wereBoulangeries or toppling stacksOf other glazed goods like young adultFiction, would have made the violenceLess crack and more cocaine,Less of course and more why god oh why.More of one thingDoesn’t rhyme with one thing.A swill of stars doesn’t rhymeWith star. A posse of poets doesn’t rhymeWith poet. We are all in prison.This is the brutal lesson of the 21st century,Swilled like a sour stoneThrough the vein of the beastWho watches you while you eat;Our eternal host, the chummed fiddler,The better tomorrow,MMXVI.","The poem explores the cyclical nature of trauma and suffering, suggesting an inescapable connection between violence and human experience."
"Unfathomable Sea! whose waves are years,   Ocean of Time, whose waters of deep woeAre brackish with the salt of human tears!   Thou shoreless flood, which in thy ebb and flowClaspest the limits of mortality! And sick of prey, yet howling on for more,Vomitest thy wrecks on its inhospitable shore;   Treacherous in calm, and terrible in storm,     Who shall put forth on thee,       Unfathomable Sea?","The poem explores the overwhelming nature of time and existence, suggesting humanity’s futile struggle against an endless, destructive force."
"I Though I sing high, and chaunt above her, Praising my girl, It were not right To reckon her the poorer lover;    She does not love me less For her royal, jewelled speechlessness, She is the sapphire, she the light, The music in the pearl. II Not from pert birds we learn the spring-tide    From open sky.    What speaks to us Closer than far distances that hide In woods, what is more dear Than a cherry-bough, bees feeding near In the soft, proffered blooms? Lo, I Am fed and honoured thus. III She has the star’s own pulse; its throbbing    Is a quick light. She is a dove My soul draws to its breast; her sobbing    Is for the warm dark there! In the heat of her wings I would not care My close-housed bird should take her flight    To magnify our love.","Her profound and irreplaceable affection surpasses outward displays, representing a deeper, more authentic connection than any superficial charm."
"Today I managed somethingthat I’ve never done before.I turned in this week’s spelling quizand got a perfect score.Although my score was perfect,it appears I’m not too bright.I got a perfect zero—not a single answer right.",A poignant reflection on the deceptive nature of achievement and the inherent value of genuine understanding beyond simple success.
Be preciseauthority is magic.When you think you've got it straightwax wane declinationfeel the movement under your handone summer morningas you observe it setthen rise that night.Always use a well-sharpened pencilfollowed by a good eraser.Watch the white emerge.,"Accepting impermanence reveals profound wisdom; understanding change is a transformative, continuous process of observation and learning."
"I The angels guide him now, And watch his curly head, And lead him in their games, The little boy we led.     II He cannot come to harm, He knows more than we know, His light is brighter far Than daytime here below.     III His path leads on and on, Through pleasant lawns and flowers, His brown eyes open wide At grass more green than ours.     IV With playmates like himself, The shining boy will sing, Exploring wondrous woods, Sweet with eternal spring.     V Yet, he is lost to us, Far is his path of gold, Far does the city seem, Lonely our hearts and old.",Transformation and transcendence mark this journey; a beloved child ascends to an enlightened state beyond earthly limitations and loss.
"I will die in Paris with a rainstorm,on a day I already remember,I will die in Paris—and I don't shy away—perhaps on a Thursday, as today is, in autumn.       It will be Thursday, because today, Thursday, as I prosethese lines, I've put on my humeri in a bad mood,   and, today like never before, I've turned back,with all of my road, to see myself alone.       César Vallejo has died; they kept hitting him,   everyone, even though he does nothing to them,they gave it to him hard with a club and hard       also with a rope; witnesses arethe Thursday days and the humerus bones,   the solitude, the rain, the roads. . .",Acceptance of mortality’s inevitability intertwines with a poignant self-reflection on isolation and the search for meaning before a predetermined end.
"Pity me not because the light of dayAt close of day no longer walks the sky;Pity me not for beauties passed awayFrom field and thicket as the year goes by;Pity me not the waning of the moon,Nor that the ebbing tide goes out to sea,Nor that a man’s desire is hushed so soon,And you no longer look with love on me.This have I known always: Love is no moreThan the wide blossom which the wind assails,Than the great tide that treads the shifting shore,Strewing fresh wreckage gathered in the gales:Pity me that the heart is slow to learnWhat the swift mind beholds at every turn.","Love’s beauty and passion inevitably fade, mirroring natural cycles of decline and loss, demanding acceptance rather than sorrow."
"In Japan, when you die, they wheel what’s left of you out of the incinerator, and what’s left of your family takes turns picking with special chopsticks. It looks like they have gathered to dine over a dead campfire, but they are not, of course, eating you. They are feeding you to the round mouth of an urn: only in pieces, Father, to the fire. In their bright swimsuits, my daughters spill warm sand over my skin as I lie still, watching the sun needle the sky. The baby licks her fingers to tell, perhaps, if I am ready, her bald head white with lotion, her mouth full of vowels. The older one says nothing above the ocean’s slow rush, but scoops and pats to get me done and gone. I’ve never been to Japan, but once, a globe of glass found me at the clear end of a wave. It drifted from the other side, my mother said. Cold and slick, it glistened as I held it up with both hands and looked through to the green flames of the sun before tasting the salt with my tongue.","Acceptance of mortality arrives through poignant rituals, symbolized by embracing transformation and returning to the elements from which one originated."
"By the stream, where the ground is softand gives, under the slightest pressure—even   the fly would leave its footprint here   and the paw of the shrew the crescent   of its claws like the strokes of a chisel   in clay; where the lightest chill, lighter   than the least rumor of winter, sets the reeds   to a kind of speaking, and a single drop of rain   leaves a crater to catch the first silver   glint of sun when the clouds slide away   from each other like two tired lovers,   and the light returns, pale, though brightened   by the last chapter of late autumn:   copper, rusted oak, gold aspen, and the redpages of maple, the wind leafing through to the end   the annals of beech, the slim volumes   of birch, the elegant script of the ferns ...for the birds, it is allnotations for a coda, for the otter   an invitation to the river,and for the deer—a dreamin which to disappear, light-footed   on the still open book of earth,   adding the marks of their passage,   adding it all in, waiting onlyfor the first thick flurry of snowflakes   for cover, soft cover that carries   no title, no name.","Nature’s cyclical beauty embodies transient existence and profound serenity, suggesting an acceptance of inevitable change and return."
"Didn’t Sappho say her guts clutched up like this?Before a face suddenly numinous,her eyes watered, knees melted. Did she lactate   again, milk brought down by a girl’s kiss?   It’s documented torrents are unloosedby such events as recently producednot the wish, but the need, to consume, in us,   one pint of Maalox, one of Kaopectate.My eyes and groin are permanently swollen,   I’m alternatingly brilliant and witless—and sleepless: bed is just a swamp to roll in.   Although I’d cream my jeans touching your breast,   sweetheart, it isn’t lust; it’s all the restof what I want with you that scares me shitless.","This poem explores overwhelming, uncontrollable desire and anxiety surrounding intimacy, revealing a profound need beyond simple physical gratification."
"Darkness is not a death, does not obliterate,will not bury you or take your breath away.Darkness will not erase you the way it erases day with nightbecause darkness is not the clock but merely the timefalling away from the clock's circular face.Darkness is not the loss but the thing misplaced,not the hammer but the nail in its curved emergencefrom wood's grasp, not the storm's insurgencebut the limbs broken off from their miraculoussuspension in a storm out far, beyond us.Darkness is not about hearts, imperfect as they are,but what leaks through their incorrigible doors, not the starsbut the glissade or glide of their dust.Darkness no longer shields the hunters' muskin search of you, or turns you to animal prey,it is only a measure of weight or days.Not something without a beginning or an end,it is not even—especially not—an end.Nor is it vertigo, nor the whole, but merely a piece.No, darkness is but a ghost of an idea, the leastremembered, most estranged prayer, and your fearbut a lingering, limbic fear torn from shreds of forgotten years.Only that much is clear.","Darkness represents not annihilation, but a fundamental shift in perception – a quiet, detached absence revealing deeper truths about existence and our anxieties."
"Both guitars run trebly. One noodlesOver a groove. The other slushes chords.Then they switch. It’s quite an earnest affair.They close my eyes. I close their eyes. A hornBlares its inner air to brass. A girl shakesHer ass. Some dude does the same. The music’sGone moot. Who doesn’t love it when the bassDoesn’t hide? When you can feel the trumpet peelOld oil and spit from deep down the emptyPit of a note or none or few? So don’tGive up on it yet: the scenario.You know that it’s just as tired of youAs you are of it. Still, there’s much more to itThan that. It does not not get you quite wrong.","The piece explores the bittersweet recognition of fleeting moments and experiences, acknowledging both their exhaustion and lingering, undeniable power."
"Then I realized I hadn’t secured the boat.Then I realized my friend had lied to me.Then I realized my dog was goneno matter how much I called in the rain.All was change.Then I realized I was surrounded by aliensdisguised as orthodontists having a conventionat the hotel breakfast bar.Then I could see into the life of things,that systems seek only to reproducethe conditions of their own reproduction.If I had to pick between shadowsand essences, I’d pick shadows.They’re better dancers.They always sing their telegrams.Their old gods do not die.Then I realized the very futility was salvationin this greeny entanglement of  breaths.Yeah, as if.Then I realized even when you catch the mechanism,the trick still works.Then I came to in Texasand realized rockabilly would never go away.Then I realized I’d been drugged.We were all chasing nothingwhich left no choice but to intensify the chase.I came to handcuffed and gagged.I came to intubated and packed in some kind of foam.This too is how ash moves through water.And all this time the side doors unlocked.Then I realized repetition could be an ending.Then I realized repetition could be an ending.","The poem explores a cascade of unsettling revelations, ultimately suggesting a profound sense of inescapable, cyclical disorientation and the futility of seeking meaning."
"This face had no use for light, took none of it,Grew cavernous against stars, bore into noonA dark of midnight by its own resources.Yet where it lay in sleep, where the pillows held itWith the blind plaster over it and the four wallsKeeping the night carefully, it was undone.Sixty-watt light, squared to a window frame,Across a well of air, across wind and windowLeaped and made shine the dark face in its sleep.","The poem explores isolation’s potent effect – darkness thrives when shielded, yet vulnerability emerges with unwelcome illumination."
"The giant worldis no damned geniuswith its basket of latitude,its schedule for wantingto be touched.Now, slow asleepI’m songto break in on,a strength less lostthan gone.I borrow minute, hour,day, day.The waves as cruel replacements passfor crutches.",A quiet acceptance of loss and finding renewed resilience emerges from a relinquishing of grand ambitions for personal comfort and connection.
"Cut out as a horse is cut from the  pack. Peeled off, but a long time back. Now such a feeling for the way they touch and shift as one, the beauty when they run.","A poignant reflection on lost connection and enduring, bittersweet memories of profound intimacy and shared experience."
"Just as in the horror movies when someone discovers that the phone calls are coming from inside the house so too, I realized  that our tender overlapping has been taking place only inside me. All that sweetness, the love and desire— it’s just been me dialing myself then following the ringing to another room to find no one on the line, well, sometimes a little breathing but more often than not, nothing. To think that all this time— which would include the boat rides, the airport embraces, and all the drinks— it’s been only me and the two telephones, the one on the wall in the kitchen and the extension in the darkened guest room upstairs.","Isolated longing defines a solitary experience of affection, where connection remains perpetually unrealized within the confines of self."
"and turn the senior citizen centerinto an automated assembly line.Goodbye, dross of long winter nights.Farewell, old skin cells and reek:what couldn’t come clean on a clothesline.Bundles of pillows, caroming, bouncing,sloshing along, even as moremistresses of pillows hurry through the door,hugging stained sacks of featherslike thoughts kept well past prime.Sure, they should’ve been thrown outlong ago but—we paid so dearly for them.","The poem explores poignant aging and regret, highlighting the clinging to useless possessions due to sentimental value and lost opportunity."
"When biting Boreas, fell and doure, Sharp shivers thro' the leafless bow'r; When Phoebus gies a short-liv'd glow'r,          Far south the lift, Dim-dark'ning thro' the flaky show'r,          Or whirling drift: Ae night the storm the steeples rocked, Poor Labour sweet in sleep was locked, While burns, wi' snawy wreeths upchoked,          Wild-eddying swirl, Or thro' the mining outlet bocked,          Down headlong hurl. List'ning, the doors an' winnocks rattle, I thought me on the ourie cattle, Or silly sheep, wha bide this brattle          O' winter war, And thro' the drift, deep-lairing, sprattle,          Beneath a scar. Ilk happing bird, wee, helpless thing! That, in the merry months o' spring, Delighted me to hear thee sing,          What comes o' thee? Whare wilt thou cow'r thy chittering wing          An' close thy e'e? Ev'n you on murd'ring errands toil'd, Lone from your savage homes exil'd, The blood-stain'd roost, and sheep-cote spoil'd          My heart forgets, While pityless the tempest wild          Sore on you beats.","Vulnerability and loss are keenly felt amidst winter’s destructive power, highlighting the suffering of nature and prompting profound empathy."
"Sometimes I want a corset liketo harden me or garnish. Ithink of this stricture—rainlanguage, building—as a corset: anouter ideal mould, I feelthe ideal moulding me the idealis now my surface just so veryperfect I know where to buy it and Itake it off. I take it off. If all things falland we are just emperors, seriousand accurate and fugitivein such dormant lines of gorgeousnessthe day is a locksmithdew lies long on the grassand I a rustic ask: what isa surface—and respondonly omniscience, the crumpling faceas the domestic emotions elucidatethemselves a sea of mistexists so strangely side by sidethe potent mould of anarchy and scorn.","The poem explores the human desire for rigid structure and control, ultimately revealing its illusory nature alongside profound, untamed beauty."
Just like  Jesus     I   am   a time   machine     I   go   away  I   come   back     they won’t   let   me   watch    things   dieand     the  spy   in   the   spine     a   hearse   of  sense  and  rumors     a bundle      of   all   that’s    possible    in     a bodytied  to   its      back    with   the  babble    of    hypocrites        and    dirty   rivers          if    you    fall   asleep    in yellowand    awake      in     a  bed   of   cotton  wool   with    a  star   of   nails   where     your   heart   should   go     and   thecosmetics     of     wartime     blood  lipping wax     in    a   factory     basement    attached   to  a   slab   of   maple      youdo   not  have   to  love  that man      to  slice   his lips      and   scream        what   divination  turned  into   demon   byignoring    you    alone    can    remember     and      revert     to    God     I   give    the   woven   whisper   of   a kid   toher    first   brown   doll    mounted     to     a   branch     of     song       she    sings       reasons     that   we   fear      ourfeelings—   To   the  dice   in   the  tree    she  is   singing    as   the   torches   come   up  throbbing    and    grinninga crimson  minnow   in   her   last est  lap,"Loss and remembrance intertwine, revealing a painful reckoning with faith, violence, and the suppression of authentic experience."
"The glories of our blood and state Are shadows, not substantial things; There is no armor against fate; Death lays his icy hand on kings.     Scepter and crown     Must tumble down And in the dust be equal made With the poor crooked scythe and spade. Some men with swords may reap the field And plant fresh laurels where they kill, But their strong nerves at last must yield; They tame but one another still.     Early or late     They stoop to fate And must give up their murmuring breath, When they, pale captives, creep to death. The garlands wither on your brow, Then boast no more your mighty deeds; Upon death’s purple altar now See where the victor-victim bleeds.     Your heads must come     To the cold tomb; Only the actions of the just Smell sweet and blossom in their dust.","Ultimately, the poem reveals a stark confrontation with mortality, demonstrating that power and glory are transient illusions destined for universal equality with death."
"It's just me throwing myself at you,romance as usual, us times us,not lust but moxibustion,a substance burning closeto the body as possiblewithut risk of immolation.Nearness without contactcauses numbness. Analgesia.Pins and needles. As the snugnessof the surgeon's glove causes hand fatigue.At least this procedurerequires no swag or goody bags,stuff bestowed upon the starsat their luxe functions.There's no dress code,though leg ironsare always appropriate.And if anyone says what the hellare you wearing in Esperanto—Kion diable vi portas?—tell them anguishis the universal language.Stars turn to trainwrecksand my heart goes outadmirers gush. Ground to a velvet!But never mind the downside,mon semblable, mon crush.Love is just the retaliation of light.It is so profligate, you know,so rich with rush.","This intense yearning expresses a painful, almost ritualistic intimacy—a desperate seeking of connection marked by frustrating near-misses and quiet suffering."
"In the hermetic almost darkunder the fluorescent dizz I found her broken nerves,smoke coming off the dashes,the caps like jolts to the neck, the pried-open spaces between vowelswhere the teeth bit off twineand the tongue was raw then cool with ice. The air of the stockroom after lunchwas the marbleized silence of thesmall blank pages she stitched into privacy. Air of paper and faint gluebond, carbon, graph, yellow pads, in the stockroom I could read alone—the confetti of money dissolved on the blank wall. After work, I slid the numbered poemson blue mimeo into my playbook,and felt the open field the zig-zagging past cornerbacks,the white lines skewed to heaven. Excuse my mood—unbridled, chemical,her scrawled messages smooth to the mind, excuse my absence, again and yes, then, too— the cold stone of the Palisades was thereafter we split— alone naked in the Hudson,the water greasing me in the tepid, chemical mix, before I returnedto the cement of 9W in my father’s Skylark the night black and soundless within.","A fractured self seeks solace in fleeting moments of escape, ultimately returning to an inescapable, emotionally barren core."
"A poem should be palpable and mute   As a globed fruit,DumbAs old medallions to the thumb,Silent as the sleeve-worn stoneOf casement ledges where the moss has grown—A poem should be wordless   As the flight of birds.                         *               A poem should be motionless in time   As the moon climbs,Leaving, as the moon releasesTwig by twig the night-entangled trees,Leaving, as the moon behind the winter leaves,   Memory by memory the mind—A poem should be motionless in time   As the moon climbs.                         *               A poem should be equal to:Not true.For all the history of griefAn empty doorway and a maple leaf.For loveThe leaning grasses and two lights above the sea—A poem should not mean   But be.","Experiencing profound emotion necessitates an intuitive, unspoken resonance – truth emerges through presence rather than explicit definition or explanation."
"I am being paraded through the streets with my head shaved,with no memory of what I have done to deserve this. I run a gauntlet of women who call me slut and whore,staggering under their fusillade of accusation: What stories did I tell, what lies? What names did I reveal?What men did I sleep with? What did I do? For what reward? Or in a catacomb deep under Paris they press glovesof barbed wire on to my bare hands, and when the wounds have healed they point to the brambles left on my palms, saying, Surelythese lines of head and heart and mind are those of a traitor. When you wake I hold you tight, saying, It’s only a dream,the language of dream has nothing to do with that of life. And as eventually you sink back into the deep wellof sleep, I wonder if by my words I have betrayed you.","The poem explores guilt, accusation, and the blurring boundaries between dreams and reality through profound self-doubt and potential betrayal."
"Inward lush unpetaling purpose in pink blooms of sleep, and I no longer needed to be separate. I was living there then, at the edge of the sea. And my friends came to visit, trying for a baby, not sure how to read me on that island of dozy sunlight. And there it was: familiarity edged with fear, the way we’d feed each other sandwiches and wonder if we should have wanted something other. We walked the folded cliffs over conifer fronds and mud runneling rocks slick with dropped fruit and rotting camellias to pause at the first ridge. We looked through high pines at the blue moving tides, then his finger caught a snag in the water and another and we saw — glinting fins wheeling the sheen, thousands playing in pods coming closer like the souls slippering into our bodies, attaching to matter as flippers angle into a ferrying strand. We too are a species, I realized. We too could know that as joy.",Connection and shared existence emerge from recognizing humanity’s profound interdependence with nature and each other.
"Fast breaks. Lay ups. With Mercury'sInsignia on our sneakers,We outmaneuvered the footworkOf bad angels. Nothing but a hotSwish of strings like silkTen feet out. In the roundhouseLabyrinth our bodiesCreated, we could almostLast forever, poised in midairLike storybook sea monsters.A high note hung thereA long second. OffThe rim. We'd corkscrewUp & dunk balls that explodedThe skullcap of hope & goodIntention. Lanky, all hands& feet...sprung rhythm.We were metaphysical when girlsCheered on the sidelines.Tangled up in a falling,Muscles were a bright motorDouble-flashing to the metal hoopNailed to our oak.When Sonny Boy's mama diedHe played nonstop all day, so hardOur backboard splintered.Glistening with sweat,We rolled the ball offOur fingertips. TroubleWas there slapping a blackjackAgainst an open palm.Dribble, drive to the inside,& glide like a sparrow hawk.Lay ups. Fast breaks.We had moves we didn't knowWe had. Our bodies spunOn swivels of bone & faith,Through a lyric slipknotOf joy, & we knew we wereBeautiful & dangerous.","This poem explores the intoxicating blend of youthful exuberance, fleeting immortality, and primal aggression found within shared, passionate action."
"Most people would rather not,but I indulge, every few weeks,the thought of it. Sometimesthe oily smell of an evening flower appearsand hangs in the air, a slightly browner spot.I think most people had it wrong when they saidforget about it and find a fresh patch  of  grass to lie down in.  There are prayers, though,about that kind of peace.  I have to admit, sometimesI want nothing more than to be lying on the bottomof an unimpressive river.  I can watch all the leaves and sticks skim over my head,and no one will bother me  because they’re swimmingin the more impressive rivers.The water’s not too cold. It doesn’t feellike being dead.It also doesn’t feel like being oldor fetal.I came to the humble water to lie down.I did what I set out to do.Now I don’t have to tell youanything more about it.","Acceptance of mortality and a longing for quiet, simple peace found in relinquishing ambition and embracing vulnerability."
"Cold nights outside the taverns in Wyomingpickups and big semis lounge idling, letting their   haunches twitch now and then in gusts of powder snow,   their owners inside for hours, forgetting as well   as they can the miles, the circling plains, the still town   that connects to nothing but cold and space and a few   stray ribbons of pavement, icy guides to nothing   but bigger towns and other taverns that glitter and wait:   Denver, Cheyenne.Hibernating in the library of the school on the hill   a few pieces by Thomas Aquinas or Saint Teresaand the fragmentary explorations of people like Alfred   North Whitehead crouch and wait amid research folders   on energy and military recruitment posters glimpsed   by the hard stars. The school bus by the door, a yellow   mound, clangs open and shut as the wind finds a loose   door and worries it all night, letting the hollow   students count off and break up and blow away   over the frozen ground.","A sense of isolation and displacement pervades, highlighting humanity's futile attempts to find meaning amidst endless routes and vacant destinations."
I am fourteenand my skin has betrayed me   the boy I cannot live without   still sucks his thumbin secrethow come my knees arealways so ashywhat if I diebefore morningand momma's in the bedroom   with the door closed.I have to learn how to dance   in time for the next party   my room is too small for me   suppose I die before graduation   they will sing sad melodies   but finallytell the truth about meThere is nothing I want to do   and too muchthat has to be doneand momma's in the bedroom   with the door closed.Nobody even stops to think   about my side of itI should have been on Math Team   my marks were better than his   why do I have to bethe onewearing bracesI have nothing to wear tomorrow   will I live long enoughto grow upand momma's in the bedroom   with the door closed.,"A suffocating sense of isolation and impending loss defines the speaker’s struggle with identity, vulnerability, and a yearning for escape."
